,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information,Time
0,linearRegression,pKd pKi pIC50,all,1.427600998697034,3.051575216826102,1.136918832564263,0.61515,[0.551 ~ 0.672],0.3784100000000001,GRADE,0.001647615432739258
1,linearRegression,pKd pKi pIC50,all,1.433659452530421,4.792340599152623,1.8966952608410446,0.31145900000000004,[0.299 ~ 0.324],0.09700699999999998,GRADE,0.005093502998352051
2,linearRegression,pKd pKi pIC50,all,238565.37822019256,16220113488095.043,4020348.171468175,-0.079731,[-0.176 ~ 0.018],0.006357,X-GRADE,0.0016651391983032227
3,linearRegression,pKd pKi pIC50,all,32356853519228.312,1.470570173106042e+31,3834664883028253.0,0.008995000000000001,[-0.005 ~ 0.023],8.1e-05,X-GRADE,0.012267112731933594
4,linearRegression,pKd pKi pIC50,ki,1.3669855439109753,2.811266726134413,1.2275628206184521,0.6393430000000001,[0.578 ~ 0.694],0.40876,GRADE,0.00201113224029541
5,linearRegression,pKd pKi pIC50,ki,1.5522169758910331,6.2286275670233575,2.2921144735479473,0.279827,[0.267 ~ 0.293],0.078303,GRADE,0.005181598663330078
6,linearRegression,pKd pKi pIC50,ki,1.342721287372011e+22,5.13826629835156e+46,2.2627941342057478e+23,0.079731,[-0.018 ~ 0.176],0.006357,X-GRADE,0.0017151355743408204
7,linearRegression,pKd pKi pIC50,ki,1.749765288612784e+29,1.447550555146982e+62,1.203014707844613e+31,0.011075,[-0.003 ~ 0.025],0.00012300000000000004,X-GRADE,0.012303566932678223
8,linearRegression,pKd pKi pIC50,kd,1.477996607403085,3.2888681501996944,0.9228480402851906,0.6219900000000002,[0.558 ~ 0.678],0.38687199999999994,GRADE,0.0016004562377929688
9,linearRegression,pKd pKi pIC50,kd,1.3689454943234962,4.250073912408466,1.633487311226256,0.30631900000000006,[0.294 ~ 0.319],0.093831,GRADE,0.005137205123901367
10,linearRegression,pKd pKi pIC50,kd,16486032.685706202,7.481341541355674e+16,273023124.838029,0.079384,[-0.018 ~ 0.176],0.006302,X-GRADE,0.00204160213470459
11,linearRegression,pKd pKi pIC50,kd,3.64445544659024e+17,1.6694816330174582e+39,4.085766537865626e+19,-0.0016359999999999999,[-0.015 ~ 0.012],2.9999999999999997e-06,X-GRADE,0.012261629104614258
12,Ridge,pKd pKi pIC50,all,1.425729891916447,3.0448439673910674,1.1319284980748474,0.616408,[0.552 ~ 0.674],0.379959,GRADE,0.0015648603439331055
13,Ridge,pKd pKi pIC50,all,1.4299027141735687,4.7467200765971915,1.8847228267469365,0.31324,[0.301 ~ 0.326],0.09811899999999998,GRADE,0.006980705261230469
14,Ridge,pKd pKi pIC50,all,1.3758130689890058,2.9868434258243286,1.053955507554676,0.624511,[0.561 ~ 0.681],0.39001300000000005,X-GRADE,0.0017318964004516602
15,Ridge,pKd pKi pIC50,all,159360.33546676484,119988247559208.84,10952756.86811349,0.011068999999999999,[-0.003 ~ 0.025],0.00012300000000000004,X-GRADE,0.01338653564453125
16,Ridge,pKd pKi pIC50,ki,1.3643811094989438,2.805949942860793,1.2182268488764905,0.6410239999999999,[0.58 ~ 0.695],0.41091200000000005,GRADE,0.0015775442123413086
17,Ridge,pKd pKi pIC50,ki,1.5412614233898483,6.03707935386654,2.24861958006468,0.2845,[0.272 ~ 0.297],0.08094,GRADE,0.006134152412414551
18,Ridge,pKd pKi pIC50,ki,272594954.38991255,2.1177782387071185e+19,4593851801.807359,-0.079731,[-0.176 ~ 0.018],0.006357,X-GRADE,0.0016694784164428711
19,Ridge,pKd pKi pIC50,ki,2.6069824040186624e+16,3.185802166233646e+36,1.7846944410083287e+18,-0.011118000000000001,[-0.025 ~ 0.003],0.000124,X-GRADE,0.012524127960205078
20,Ridge,pKd pKi pIC50,kd,1.476072993353913,3.281728544493963,0.915905579586916,0.6239179999999999,[0.56 ~ 0.68],0.38927399999999995,GRADE,0.0016083240509033204
21,Ridge,pKd pKi pIC50,kd,1.365291364436546,4.224224146117291,1.6256561679325041,0.307414,[0.295 ~ 0.32],0.09450400000000002,GRADE,0.005197215080261231
22,Ridge,pKd pKi pIC50,kd,1.7429788908961314,21.454223257717977,4.282677560275467,0.10368,[0.006 ~ 0.199],0.010748999999999998,X-GRADE,0.0020203590393066406
23,Ridge,pKd pKi pIC50,kd,1142566.9535285982,5874791508586829.0,76639513.92184952,0.010658,[-0.003 ~ 0.024],0.00011399999999999998,X-GRADE,0.012073183059692382
24,Lasso,pKd pKi pIC50,all,1.4172769671795096,3.0148385619567377,1.1100221208889425,0.6221680000000002,[0.558 ~ 0.679],0.3870930000000001,GRADE,0.0015918970108032226
25,Lasso,pKd pKi pIC50,all,1.4187603616238837,4.595405082798723,1.8412761234904167,0.318441,[0.306 ~ 0.331],0.101405,GRADE,0.005031394958496094
26,Lasso,pKd pKi pIC50,all,1.3785638031615175,2.897931031994379,0.9693870096983564,0.6550279999999999,[0.595 ~ 0.707],0.42906199999999994,X-GRADE,0.0017034053802490235
27,Lasso,pKd pKi pIC50,all,156704.07803570968,116117433370845.72,10774640.570252668,0.011032,[-0.003 ~ 0.025],0.000122,X-GRADE,0.012280893325805665
