,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Spearman correlation coefficient,add. information,Classes,Set,Set size
0,linearRegression,pKd pKi pIC50,all,1.1945948596921925,3.0159134781465284,1.4460627250194038,0.379047,[0.302 ~ 0.451],0.143676,0.522322,GRADE_class1_test,1,test,357
1,linearRegression,pKd pKi pIC50,all,3259347.9773767195,3792495391952853.5,61496928.818961285,-0.013344,[-0.1 ~ 0.074],0.000178,0.515803,X-GRADE_class1_test,1,test,357
2,Ridge,pKd pKi pIC50,all,1.1919382862868961,2.982172241012232,1.4347853856016959,0.382051,[0.305 ~ 0.454],0.145963,0.522909,GRADE_class1_test,1,test,357
3,Ridge,pKd pKi pIC50,all,1915561.294035264,1309944075135361.8,36142424.10700222,-0.013344,[-0.1 ~ 0.074],0.000178,0.521674,X-GRADE_class1_test,1,test,357
4,Lasso,pKd pKi pIC50,all,1.1831625923654507,2.893411328414779,1.3992953943069357,0.388429,[0.312 ~ 0.46],0.150877,0.523647,GRADE_class1_test,1,test,357
5,Lasso,pKd pKi pIC50,all,1738578.5432356957,1079086463630038.0,32803411.565517165,-0.013345,[-0.1 ~ 0.074],0.000178,0.531398,X-GRADE_class1_test,1,test,357
6,ElasticNet,pKd pKi pIC50,all,1.185548119857643,2.9093090083219377,1.4081995363484878,0.38812,[0.311 ~ 0.46],0.150637,0.52337,GRADE_class1_test,1,test,357
7,ElasticNet,pKd pKi pIC50,all,3286910.9736174075,3856923446831272.5,62017092.83469896,-0.013345,[-0.1 ~ 0.074],0.000178,0.522145,X-GRADE_class1_test,1,test,357
8,SVR,pKd pKi pIC50,all,1.0623798299066949,1.8086382277169193,1.1022324262949021,0.582906,[0.522 ~ 0.638],0.339779,0.582065,GRADE_class1_test,1,test,357
9,SVR,pKd pKi pIC50,all,1.0586537288706144,1.8259217641743708,1.1257422296751873,0.579815,[0.519 ~ 0.635],0.336185,0.579206,X-GRADE_class1_test,1,test,357
